code,name,market
005930,삼성전자,KR
000660,SK하이닉스,KR
373220,LG에너지솔루션,KR
207940,삼성바이오로직스,KR
005380,현대차,KR
005490,POSCO홀딩스,KR
000270,기아,KR
068270,셀트리온,KR
035420,NAVER,KR
051910,LG화학,KR
006400,삼성SDI,KR
035720,카카오,KR
105560,KB금융,KR
055550,신한지주,KR
012330,현대모비스,KR
028260,삼성물산,KR
003670,포스코퓨처엠,KR
015760,한국전력,KR
032830,삼성생명,KR
086790,하나금융지주,KR
066570,LG전자,KR
323410,카카오뱅크,KR
003550,LG,KR
017670,SK텔레콤,KR
034730,SK,KR
009150,삼성전기,KR
011200,HMM,KR
010130,고려아연,KR
316140,우리금융지주,KR
259960,크래프톤,KR
018260,삼성에스디에스,KR
024110,기업은행,KR
030200,KT,KR
011170,롯데케미칼,KR
010950,S-Oil,KR
128940,한미약품,KR
090430,아모레퍼시픽,KR
051900,LG생활건강,KR
161390,한국타이어앤테크놀로지,KR
097950,CJ제일제당,KR
036570,엔씨소프트,KR
047050,포스코인터내셔널,KR
267250,HD현대,KR
329180,HD현대중공업,KR
042660,한화오션,KR
010140,삼성중공업,KR
009830,한화솔루션,KR
271560,오리온,KR
004020,현대제철,KR
001570,금양,KR
005387,현대차2우B,KR
302440,SK바이오사이언스,KR
326030,SK바이오팜,KR
000810,삼성화재,KR
012450,한화에어로스페이스,KR
064350,현대로템,KR
079550,LIG넥스원,KR
047810,한국항공우주,KR
272210,한화시스템,KR
352820,하이브,KR
035900,JYP Ent.,KR
041510,에스엠,KR
122870,와이지엔터테인먼트,KR
020150,롯데에너지머티리얼즈,KR
450080,에코프로머티,KR
247540,에코프로비엠,KR
086520,에코프로,KR
091990,셀트리온헬스케어,KR
196170,알테오젠,KR
145020,휴젤,KR
214150,클래시스,KR
278280,천보,KR
357780,솔브레인,KR
240810,원익IPS,KR
095340,ISC,KR
058470,리노공업,KR
222080,씨아이에스,KR
034020,두산에너빌리티,KR
241560,두산밥캣,KR
000150,두산,KR
336260,두산퓨얼셀,KR
112610,씨에스윈드,KR
322000,현대에너지솔루션,KR
137400,피엔티,KR
039030,이오테크닉스,KR
178920,PI첨단소재,KR
108320,LX세미콘,KR
098460,고영,KR
140860,파크시스템스,KR
189300,엔젤로보틱스,KR
454910,두산로보틱스,KR
277810,레인보우로보틱스,KR
293490,카카오게임즈,KR
263750,펄어비스,KR
112040,위메이드,KR
225570,넥슨게임즈,KR
058970,엠로,KR
053800,안랩,KR
060250,NHN KCP,KR
035760,CJ ENM,KR
079160,CJ CGV,KR
192820,코스맥스,KR
237880,클리오,KR
214320,이노션,KR
030000,제일기획,KR
